year,franchise_value,attendance
2002,142000000,1065742
2003,145000000,1058695
2004,152000000,1274911
2005,176000000,1141669
2006,209000000,1358950
2007,267000000,1387603
2008,290000000,1811986
2009,320000000,1874962
2010,316000000,1864999
2011,331000000,1529188
2012,323000000,1559681
2013,451000000,1510300
2014,485000000,1446464
2015,625000000,1287054
2016,650000000,1286163
2017,825000000,1253619
2018,900000000,1154973
2019,1000000000,1178735
2020,1100000000,0
2021,1100000000,761072
2022,1100000000,1128127
2023,1300000000,1440301
2024,1250000000,0
